"","YaleID","Accession.ID"
"288","Yale-3969","EPI_ISL_2034903"
"289","Yale-3968","EPI_ISL_2034902"
"290","Yale-3959","EPI_ISL_2034889"
"291","Yale-3961","EPI_ISL_2034892"
"292","Yale-3960","EPI_ISL_2034891"
"293","Yale-3951","EPI_ISL_2034877"
"294","Yale-3958","EPI_ISL_2034887"
"295","Yale-3954","EPI_ISL_2034882"
"296","Yale-3953","EPI_ISL_2034880"
"297","Yale-3955","EPI_ISL_2034883"
"298","Yale-3948","EPI_ISL_2034873"
"299","Yale-3947","EPI_ISL_2034872"
"300","Yale-3962","EPI_ISL_2034893"
"301","Yale-3942","EPI_ISL_2034866"
"302","Yale-3949","EPI_ISL_2034875"
"303","Yale-3939","EPI_ISL_2034863"
"304","Yale-5583","EPI_ISL_2716247"
"305","Yale-3944","EPI_ISL_2034868"
"306","Yale-5589","EPI_ISL_2716252"
"307","Yale-5587","EPI_ISL_2716250"
"308","Yale-5597","EPI_ISL_2716254"
"309","Yale-5573","EPI_ISL_2716242"
"310","Yale-3940","EPI_ISL_2034864"
"311","Yale-5570","EPI_ISL_2716239"
"312","Yale-5579","EPI_ISL_2716244"
"313","Yale-5569","EPI_ISL_2716238"
"314","Yale-5567","EPI_ISL_2716236"
"315","Yale-4529","EPI_ISL_2023201"
"316","Yale-4542","EPI_ISL_2023211"
"317","Yale-4538","EPI_ISL_2023208"
"318","Yale-4534","EPI_ISL_2023205"
"319","Yale-4541","EPI_ISL_2023210"
"320","Yale-4531","EPI_ISL_2023203"
"321","Yale-4525","EPI_ISL_2023197"
"322","Yale-4524","EPI_ISL_2023196"
"323","Yale-4522","EPI_ISL_2023194"
"324","Yale-4502","EPI_ISL_2023176"
"325","Yale-4506","EPI_ISL_2023180"
"326","Yale-4514","EPI_ISL_2023187"
"327","Yale-4497","EPI_ISL_2023171"
"328","Yale-4503","EPI_ISL_2023177"
"329","Yale-4515","EPI_ISL_2023188"
"330","Yale-4499","EPI_ISL_2023173"
"331","Yale-4494","EPI_ISL_2023168"
"332","Yale-4504","EPI_ISL_2023178"
"333","Yale-4492","EPI_ISL_2023167"
"334","Yale-4485","EPI_ISL_2023162"
"335","Yale-4488","EPI_ISL_2023165"
"336","Yale-4482","EPI_ISL_2023159"
"337","Yale-4479","EPI_ISL_2023156"
"338","Yale-4480","EPI_ISL_2023157"
"339","Yale-4496","EPI_ISL_2023170"
"340","Yale-4467","EPI_ISL_2023145"
"341","Yale-4466","EPI_ISL_2023144"
"342","Yale-4461","EPI_ISL_2023139"
"343","Yale-4460","EPI_ISL_2023138"
"344","Yale-4454","EPI_ISL_2023132"
"345","Yale-4452","EPI_ISL_2023130"
"346","Yale-4451","EPI_ISL_2023129"
"347","Yale-4433","EPI_ISL_2023112"
"348","Yale-4440","EPI_ISL_2023119"
"349","Yale-4434","EPI_ISL_2023113"
"350","Yale-4437","EPI_ISL_2023116"
"351","Yale-4429","EPI_ISL_2023109"
"352","Yale-4430","EPI_ISL_2023110"
"353","Yale-4423","EPI_ISL_2023104"
"354","Yale-4417","EPI_ISL_2023102"
"355","Yale-4426","EPI_ISL_2023106"
"356","Yale-4432","EPI_ISL_2023111"
"357","Yale-4414","EPI_ISL_2023100"
